Neighbourhood,NeighbourhoodNumber,Population2016,Population2011,Population Change 2011-2016,Total private dwellings,PopulationDensity_per_square_km,Land_area_in_square_km,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),"  $100,000 and over","    $200,000 and over"
Agincourt North,129,"29,113","30,279",-3.90%,"9,371","3,929",7.41,"3,840","3,705","11,305","4,230","6,045",925,"2,505",325
Agincourt South-Malvern West,128,"23,757","21,988",8.00%,"8,535","3,034",7.83,"3,075","3,360","9,965","3,265","4,105",555,"2,030",285
Alderwood,20,"12,054","11,904",1.30%,"4,732","2,435",4.95,"1,760","1,235","5,220","1,825","2,015",320,"1,915",360
Annex,95,"30,526","29,177",4.60%,"18,109","10,863",2.81,"2,360","3,750","15,040","3,480","5,910","1,040","5,895","2,670"
Banbury-Don Mills,42,"27,695","26,918",2.90%,"12,473","2,775",9.98,"3,605","2,730","10,810","3,555","6,975","1,640","4,615","1,750"
Bathurst Manor,34,"15,873","15,434",2.80%,"6,418","3,377",4.7,"2,325","1,940","6,655","2,030","2,940",710,"2,025",515
Bay Street Corridor,76,"25,797","19,348",33.30%,"18,436","14,097",1.83,"1,695","6,860","13,065","1,760","2,420",330,"3,600","1,105"
Bayview Village,52,"21,396","17,671",21.10%,"10,111","4,195",5.1,"2,415","2,505","10,310","2,540","3,615",610,"3,010",855
Bayview Woods-Steeles,49,"13,154","13,530",-2.80%,"4,895","3,240",4.06,"1,515","1,635","4,490","1,825","3,685",740,"1,830",580
Bedford Park-Nortown,39,"23,236","23,185",0.20%,"9,052","4,209",5.52,"4,555","3,210","8,410","3,075","3,980",660,"4,745","2,915"
Beechborough-Greenbrook,112,"6,577","6,488",1.40%,"2,796","3,614",1.82,"1,120",855,"2,750",885,965,145,430,60
Bendale,127,"29,960","27,876",7.50%,"11,293","4,011",7.47,"4,550","4,605","12,050","3,535","5,250",900,"2,625",275
Birchcliffe-Cliffside,122,"22,291","21,856",2.00%,"9,637","3,765",5.92,"3,345","2,440","9,075","3,520","3,910",630,"3,345",930
Black Creek,24,"21,737","22,057",-1.50%,"7,671","6,282",3.46,"4,600","3,290","8,525","2,425","2,870",370,900,40
Blake-Jones,69,"7,727","7,763",-0.50%,"3,269","8,134",0.95,"1,405",885,"3,605",940,895,115,"1,105",320
Briar Hill-Belgravia,108,"14,257","14,302",-0.30%,"6,080","7,791",1.83,"1,855","1,655","6,740","1,925","2,100",310,"1,375",165
Bridle Path-Sunnybrook-York Mills,41,"9,266","8,713",6.30%,"3,478","1,040",8.91,"1,435","1,425","3,090","1,525","1,785",245,"2,370","1,705"
Broadview North,57,"11,499","11,563",-0.60%,"5,812","6,764",1.7,"1,470","1,040","5,680","1,435","1,865",255,"1,230",320
Brookhaven-Amesbury,30,"17,757","17,787",-0.20%,"6,667","5,045",3.52,"3,360","2,460","7,625","2,185","2,130",285,"1,225",150
Cabbagetown-South St. James Town,71,"11,669","12,053",-3.20%,"6,761","8,335",1.4,800,"1,035","5,855","1,715","2,250",305,"1,925",700
Caledonia-Fairbank,109,"9,955","9,851",1.10%,"3,935","6,464",1.54,"1,490","1,220","4,570","1,350","1,325",165,"1,040",80
Casa Loma,96,"10,968","10,487",4.60%,"5,833","5,683",1.93,"1,200","1,080","4,555","1,465","2,675",395,"2,535","1,325"
Centennial Scarborough,133,"13,362","13,093",2.10%,"4,439","2,479",5.39,"2,150","1,850","5,030","1,955","2,385",160,"2,545",715
Church-Yonge Corridor,75,"31,340","28,349",10.60%,"21,983","23,044",1.36,"1,260","5,060","18,780","3,235","3,010",250,"4,840","1,130"
Clairlea-Birchmount,120,"26,984","24,770",8.90%,"9,529","3,632",7.43,"4,565","3,495","11,940","3,360","3,630",660,"2,785",340
Clanton Park,33,"16,472","14,612",12.70%,"6,881","3,979",4.14,"2,765","1,910","7,470","1,935","2,375",400,"2,135",690
